action,tool,in_static_ui_layout,verification,followup_stage
eeschema.InteractiveEdit.changeSymbol,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.changeSymbols,eeschema.InteractiveEdit,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.cleanupSheetPins,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.clearVariantSymbol,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.convertStackedPins,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.editFootprint,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.editReference,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.editSymbolPinMaps,eeschema.InteractiveEdit,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.editTextAndGraphics,eeschema.InteractiveEdit,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.editValue,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.explodeStackedPin,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.findNetInInspector,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.lock,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.mirrorH,eeschema.InteractiveEdit,no,RotatingAndMirroringSymbolsMatchNativeGeometry,6
eeschema.InteractiveEdit.mirrorV,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.pinTable,eeschema.InteractiveEdit,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.properties,eeschema.InteractiveEdit,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.repeatDrawItem,eeschema.InteractiveEdit,no,DuplicateAndRepeatCommitOnceWithFreshIdentity,6
eeschema.InteractiveEdit.rotateCCW,eeschema.InteractiveEdit,no,RotatingAndMirroringSymbolsMatchNativeGeometry,6
eeschema.InteractiveEdit.rotateCW,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.setVariantSymbol,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.slice,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.swap,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.swapPinLabels,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.swapPins,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.swapUnitLabels,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.symbolProperties,eeschema.InteractiveEdit,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.toCLabel,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.toGLabel,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.toHLabel,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.toLabel,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.toText,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.toTextBox,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.toggleDeMorgan,eeschema.InteractiveEdit,no,BodyStyleUsesOneTransactionAndRejectsNoOps,6
eeschema.InteractiveEdit.toggleLock,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.unlock,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.updateSymbol,eeschema.InteractiveEdit,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveEdit.updateSymbols,eeschema.InteractiveEdit,yes,Registered; individual UI behavior not verified,8
eeschema.InteractiveMove.drag,eeschema.InteractiveMove,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveMove.move,eeschema.InteractiveMove,no,CancelMoveAndDuplicatePreservesIdentityAndUndo,6
eeschema.InteractiveSelection.SelectConnection,eeschema.InteractiveSelection,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveSelection.SelectNode,eeschema.InteractiveSelection,no,Registered; individual UI behavior not verified,8
eeschema.InteractiveSelection.SyncSelection,eeschema.InteractiveSelection,no,Registered; individual UI behavior not verified,8
eeschema.NavigateTool.back,eeschema.NavigateTool,no,Registered; individual UI behavior not verified,8
eeschema.NavigateTool.changeSheet,eeschema.NavigateTool,no,Registered; individual UI behavior not verified,8
eeschema.NavigateTool.enterSheet,eeschema.NavigateTool,no,Registered; individual UI behavior not verified,8
eeschema.NavigateTool.forward,eeschema.NavigateTool,no,Registered; individual UI behavior not verified,8
eeschema.NavigateTool.leaveSheet,eeschema.NavigateTool,no,Registered; individual UI behavior not verified,8
eeschema.NavigateTool.next,eeschema.NavigateTool,no,Registered; individual UI behavior not verified,8
eeschema.NavigateTool.previous,eeschema.NavigateTool,no,Registered; individual UI behavior not verified,8
eeschema.NavigateTool.up,eeschema.NavigateTool,no,Registered; individual UI behavior not verified,8
eeschema.PinEditing.pushPinLength,eeschema.PinEditing,no,Registered; individual UI behavior not verified,12
eeschema.PinEditing.pushPinNameSize,eeschema.PinEditing,no,Registered; individual UI behavior not verified,12
eeschema.PinEditing.pushPinNumSize,eeschema.PinEditing,no,Registered; individual UI behavior not verified,12
eeschema.PointEditor.addCorner,eeschema.PointEditor,no,Registered; individual UI behavior not verified,8
eeschema.PointEditor.removeCorner,eeschema.PointEditor,no,Registered; individual UI behavior not verified,8
eeschema.RemoteSymbols.showPanel,eeschema.RemoteSymbols,no,Registered; individual UI behavior not verified,12
eeschema.SchDesignBlockControl.deleteDesignBlock,eeschema.SchDesignBlockControl,no,Registered; individual UI behavior not verified,12
eeschema.SchDesignBlockControl.editDesignBlockProperties,eeschema.SchDesignBlockControl,no,Registered; individual UI behavior not verified,12
eeschema.SchDesignBlockControl.saveSelectionAsDesignBlock,eeschema.SchDesignBlockControl,no,Registered; individual UI behavior not verified,12
eeschema.SchDesignBlockControl.saveSheetAsDesignBlock,eeschema.SchDesignBlockControl,no,Registered; individual UI behavior not verified,12
eeschema.SchDesignBlockControl.showDesignBlockPanel,eeschema.SchDesignBlockControl,no,Registered; individual UI behavior not verified,12
eeschema.SchDesignBlockControl.updateDesignBlockFromSelection,eeschema.SchDesignBlockControl,no,Registered; individual UI behavior not verified,12
eeschema.SchDesignBlockControl.updateDesignBlockFromSheet,eeschema.SchDesignBlockControl,no,Registered; individual UI behavior not verified,12
eeschema.Simulation.editUserDefinedSignals,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulation.newAnalysisTab,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulation.openWorkbook,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulation.probe,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulation.runSimulation,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulation.saveWorkbook,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulation.saveWorkbookAs,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulation.showNetlist,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulation.simAnalysisProperties,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulation.stopSimulation,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulation.tune,eeschema.Simulation,no,Registered; individual UI behavior not verified,13
eeschema.Simulator.exportCSV,eeschema.Simulator,no,Registered; individual UI behavior not verified,13
eeschema.Simulator.exportPNG,eeschema.Simulator,no,Registered; individual UI behavior not verified,13
eeschema.Simulator.exportPlotToSchematic,eeschema.Simulator,no,Registered; individual UI behavior not verified,13
eeschema.Simulator.exportToClipboard,eeschema.Simulator,no,Registered; individual UI behavior not verified,13
eeschema.Simulator.toggleDarkModePlots,eeschema.Simulator,no,Registered; individual UI behavior not verified,13
eeschema.Simulator.toggleDottedSecondary,eeschema.Simulator,no,Registered; individual UI behavior not verified,13
eeschema.Simulator.toggleLegend,eeschema.Simulator,no,Registered; individual UI behavior not verified,13
eeschema.Simulator.toggleSimConsole,eeschema.Simulator,no,Registered; individual UI behavior not verified,13
eeschema.Simulator.toggleSimSidePanel,eeschema.Simulator,no,Registered; individual UI behavior not verified,13
eeschema.Simulator.toggleSmithChart,eeschema.Simulator,no,Registered; individual UI behavior not verified,13
eeschema.SymbolDrawing.drawSymbolLines,eeschema.SymbolDrawing,no,Registered; individual UI behavior not verified,12
eeschema.SymbolDrawing.drawSymbolPolygon,eeschema.SymbolDrawing,no,Registered; individual UI behavior not verified,12
eeschema.SymbolDrawing.drawSymbolTextBox,eeschema.SymbolDrawing,no,Registered; individual UI behavior not verified,12
eeschema.SymbolDrawing.placeSymbolAnchor,eeschema.SymbolDrawing,no,Registered; individual UI behavior not verified,12
eeschema.SymbolDrawing.placeSymbolPin,eeschema.SymbolDrawing,no,Registered; individual UI behavior not verified,12
eeschema.SymbolDrawing.placeSymbolText,eeschema.SymbolDrawing,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.CompareLibraryWithFile,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.addSymbolToSchematic,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.closeSymbolTab,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.copySymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.cutSymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.deleteSymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.deriveFromExistingSymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.duplicateSymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.editSymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.exportSymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.exportSymbolAsSVG,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.exportSymbolView,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.flattenSymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.importSymbol,eeschema.SymbolLibraryControl,yes,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.newSymbol,eeschema.SymbolLibraryControl,yes,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.nextSymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.nextSymbolTab,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.pasteSymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.prevSymbolTab,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.previousSymbol,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.renameFootprint,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.saveLibraryAs,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.saveSymbolAs,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.saveSymbolCopyAs,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.showElectricalTypes,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.showHiddenFields,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.showHiddenPins,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.showLibraryFieldsTable,eeschema.SymbolLibraryControl,yes,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.showPinNumbers,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.showRelatedLibraryFieldsTable,eeschema.SymbolLibraryControl,yes,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.toggleSyncedPinsMode,eeschema.SymbolLibraryControl,no,Registered; individual UI behavior not verified,12
eeschema.SymbolLibraryControl.updateSymbolFields,eeschema.SymbolLibraryControl,yes,Registered; individual UI behavior not verified,12
pcbnew.PointEditor.arcKeepCenter,pcbnew.PointEditor,no,Other consumer; outside schematic tool scope,19
pcbnew.PointEditor.arcKeepEndpoint,pcbnew.PointEditor,no,Other consumer; outside schematic tool scope,19
pcbnew.PointEditor.arcKeepRadius,pcbnew.PointEditor,no,Other consumer; outside schematic tool scope,19
pcbnew.TableEditor.editTable,pcbnew.TableEditor,no,Other consumer; outside schematic tool scope,11
